period,model,capacity,selected,precision
2025-11,decile,0.65,1312,0.1013719512195122
2025-11,decile,0.66,1332,0.1006006006006006
2025-11,decile,0.67,1352,0.09911242603550297
2025-11,decile,0.68,1372,0.09766763848396501
2025-11,decile,0.69,1392,0.09626436781609195
2025-11,decile,0.7,1412,0.09560906515580736
2025-11,decile,0.71,1433,0.09630146545708304
2025-11,decile,0.72,1453,0.09635237439779766
2025-11,decile,0.73,1473,0.09572301425661914
2025-11,decile,0.74,1493,0.09511051574012057
2025-11,decile,0.75,1513,0.09385327164573695
2025-11,decile,0.76,1533,0.09262883235485975
2025-11,decile,0.77,1554,0.09137709137709138
2025-11,decile,0.78,1574,0.09212198221092757
2025-11,decile,0.79,1594,0.09284818067754078
2025-11,decile,0.8,1614,0.09231722428748451
2025-11,decile,0.81,1634,0.09179926560587515
2025-11,decile,0.82,1654,0.09068923821039904
2025-11,decile,0.83,1675,0.08955223880597014
2025-11,decile,0.84,1695,0.08908554572271386
2025-11,decile,0.85,1715,0.0880466472303207
2025-11,decile,0.86,1735,0.08703170028818444
2025-11,decile,0.87,1755,0.08660968660968661
2025-11,decile,0.88,1775,0.08619718309859155
2025-11,decile,0.89,1796,0.08518930957683742
2025-11,decile,0.9,1816,0.08480176211453745
2025-11,decile,0.91,1836,0.08387799564270153
2025-11,decile,0.92,1856,0.08351293103448276
2025-11,decile,0.93,1876,0.0826226012793177
2025-11,decile,0.94,1896,0.08175105485232068
2025-11,decile,0.95,1917,0.08085550339071466
2025-11,decile,0.96,1937,0.08053691275167785
2025-11,decile,0.97,1957,0.0802248339294839
2025-11,decile,0.98,1977,0.07941325240263025
2025-11,decile,0.99,1997,0.07911867801702553
2025-11,decile,1.0,2017,0.07833415964303421
2025-11,three_field_rate,0.01,21,0.42857142857142855
2025-11,three_field_rate,0.02,41,0.3902439024390244
2025-11,three_field_rate,0.03,61,0.32786885245901637
2025-11,three_field_rate,0.04,81,0.30864197530864196
2025-11,three_field_rate,0.05,101,0.27722772277227725
2025-11,three_field_rate,0.06,122,0.2786885245901639
2025-11,three_field_rate,0.07,142,0.28169014084507044
2025-11,three_field_rate,0.08,162,0.2654320987654321
2025-11,three_field_rate,0.09,182,0.25824175824175827
2025-11,three_field_rate,0.1,202,0.25742574257425743
2025-11,three_field_rate,0.11,222,0.25225225225225223
2025-11,three_field_rate,0.12,243,0.24691358024691357
2025-11,three_field_rate,0.13,263,0.24334600760456274
2025-11,three_field_rate,0.14,283,0.24028268551236748
2025-11,three_field_rate,0.15,303,0.22442244224422442
2025-11,three_field_rate,0.16,323,0.21981424148606812
2025-11,three_field_rate,0.17,343,0.21574344023323616
2025-11,three_field_rate,0.18,364,0.21153846153846154
2025-11,three_field_rate,0.19,384,0.2109375
2025-11,three_field_rate,0.2,404,0.2103960396039604
2025-11,three_field_rate,0.21,424,0.2028301886792453
2025-11,three_field_rate,0.22,444,0.19594594594594594
2025-11,three_field_rate,0.23,464,0.19181034482758622
2025-11,three_field_rate,0.24,485,0.18350515463917524
2025-11,three_field_rate,0.25,505,0.1801980198019802
2025-11,three_field_rate,0.26,525,0.17714285714285713
2025-11,three_field_rate,0.27,545,0.1724770642201835
2025-11,three_field_rate,0.28,565,0.168141592920354
2025-11,three_field_rate,0.29,585,0.17094017094017094
2025-11,three_field_rate,0.3,606,0.16996699669966997
2025-11,three_field_rate,0.31,626,0.16613418530351437
2025-11,three_field_rate,0.32,646,0.16253869969040247
2025-11,three_field_rate,0.33,666,0.16066066066066065
2025-11,three_field_rate,0.34,686,0.15743440233236153
2025-11,three_field_rate,0.35,706,0.1558073654390935
2025-11,three_field_rate,0.36,727,0.15268225584594222
2025-11,three_field_rate,0.37,747,0.1499330655957162
2025-11,three_field_rate,0.38,767,0.14732724902216426
